Agent ID,0
Number of waypoints,2
Point-0,0,0.0463438,0.00077983,0.0622449
Point-1,1.52355,-0.0368614,-0.037744,0.0928707
Agent ID,1
Number of waypoints,2
Point-0,0,0.0360389,0.059785,0.094775
Point-1,0.564682,0.0387587,0.0252471,0.0755645
Agent ID,2
Number of waypoints,2
Point-0,0,0.00447926,-0.00445134,0.0855549
Point-1,0.719608,0.0181988,0.0164178,0.122927
Agent ID,3
Number of waypoints,3
Point-0,0,0.0184639,-0.0534737,0.118542
Point-1,0.31982,0.0184639,-0.0534737,0.150524
Point-2,1.28574,0.0103639,0.0350186,0.150524
Agent ID,4
Number of waypoints,3
Point-0,0,0.0474245,-0.0581569,0.140665
Point-1,0.39178,0.0474245,-0.0581569,0.179843
Point-2,1.99702,-0.0259326,0.02901,0.179843
Agent ID,5
Number of waypoints,4
Point-0,0,-0.0301636,0.0258172,0.168066
Point-1,0.854762,-0.0301636,-0.059659,0.168066
Point-2,1.40348,0.0230602,-0.059659,0.169714
Point-3,1.40348,0.0230602,-0.059659,0.169714
